ENSG00000154252,2.9930805107,16791
ENSG00000161888,2.9904882139,9110
ENSG00000124196,2.9832495011,18146
ENSG00000225826,2.9827289255,2563
ENSG00000183971,2.978444391,15036
ENSG00000162975,2.9781064645,9692
ENSG00000167900,2.9657740548,16293
ENSG00000144485,2.9570223127,12410
ENSG00000158402,2.946841742,18179
ENSG00000131747,2.9448031033,12921
ENSG00000179603,2.9421281844,7012
ENSG00000162004,2.9369785277,16526
ENSG00000198681,2.9355957764,18153
ENSG00000100721,2.9231108506,2572
ENSG00000167100,2.9222427122,14736
ENSG00000185499,2.9162643519,17976
ENSG00000101306,2.9145021393,13276
ENSG00000203812,2.9128509439,9196
ENSG00000162891,2.9104602643,3850
ENSG00000275713,2.9088525157,17675
ENSG00000138696,2.9062339083,10604
ENSG00000129173,2.9058762086,6352
ENSG00000174371,2.8977204696,13600
ENSG00000169488,2.8926242865,3779
ENSG00000099822,2.883425294,12414
ENSG00000196866,2.8819932199,5331
ENSG00000175294,2.8801980652,14967
ENSG00000066279,2.8623714452,17055
ENSG00000143476,2.8571662967,7533
ENSG00000169607,2.8537708108,11500
ENSG00000135114,2.8502994237,11598
ENSG00000112984,2.8474573217,7440
ENSG00000277157,2.8441633867,5628
ENSG00000109705,2.8352844308,13626
ENSG00000205777,2.834131914,5575
ENSG00000101204,2.8326807813,8739
ENSG00000103260,2.8309792053,1259
ENSG00000135451,2.8271524787,9650
ENSG00000144583,2.8226468807,4684
ENSG00000130700,2.8185007287,15671
ENSG00000165949,2.8165149909,7061
ENSG00000135773,2.8164415673,9807
ENSG00000148773,2.8081928978,9576
ENSG00000183813,2.8071465888,6222
ENSG00000157613,2.8039404555,18233
ENSG00000221867,2.8027489017,12285
ENSG00000019505,2.8003172331,6145
ENSG00000182901,2.7988360075,12692
ENSG00000182631,2.7980590524,7889
ENSG00000077152,2.7917524448,14545
ENSG00000171848,2.7811157639,15276
ENSG00000130513,2.7788968076,14003
ENSG00000142945,2.7778472254,18060
ENSG00000074211,2.7748234445,17980
ENSG00000100526,2.773667503,8123
ENSG00000197588,2.7563632259,358
ENSG00000126787,2.752987905,12439
ENSG00000092054,2.7487210531,4718
ENSG00000171695,2.7457204258,15962
ENSG00000198033,2.7445891373,15820
ENSG00000168078,2.7443113573,18993
ENSG00000106819,2.7377533518,11803
ENSG00000169347,2.7245036368,8334
ENSG00000176092,2.7199068705,11849
ENSG00000103522,2.7124886552,12899
ENSG00000117122,2.71051783,12169
ENSG00000174343,2.7102467756,10847
ENSG00000169679,2.7043866973,13793
ENSG00000157456,2.7006292726,10455
ENSG00000132329,2.6992162007,15584
ENSG00000180549,2.6991584109,29
ENSG00000174871,2.6929655054,2150
ENSG00000125820,2.6909657962,17880
ENSG00000268988,2.6854940103,1406
ENSG00000117586,2.6840028604,15602
ENSG00000196427,2.6836869055,17975
ENSG00000092853,2.6816784349,18266
ENSG00000196132,2.6797946679,3298
ENSG00000142224,2.6685696967,4021
ENSG00000138315,2.6647090034,13799
ENSG00000173391,2.6587484978,1249
ENSG00000205449,2.6576416671,8476
ENSG00000105011,2.656085739,1017
ENSG00000164611,2.655161198,16260
ENSG00000105409,2.6536455415,17163
ENSG00000137804,2.6499242643,15435
ENSG00000079393,2.6495002736,4316
